internal_code,supplier_code,name,category_code,unit_type,stock,min_stock,purchase_price,sale_price,status,source
MM-HER-000044,MAD002,MARTILLO DELUXE M/GOMA 16 ONZ UYUSTOOL,HER,UND,2.00,3,0.00,171.50,ACTIVE,PDF Cotizacion
MM-HER-000045,MAD001,MARTILLO DELUXE M/MADERA 16ONZ UYUSTOOL,HER,UND,2.00,3,0.00,163.90,ACTIVE,PDF Cotizacion
MM-HER-000046,PROV-0193,HCH8102 MARTILLO MANGO DE FIBRA DE VIDRIO 27MM,HER,UND,2.00,3,0.00,193.65,ACTIVE,PDF Cotizacion
MM-SEG-000005,WM128,MASCARA PARA SOLDAR 110X90MM WM128 INGCO,SEG,UND,2.00,3,0.00,190.60,ACTIVE,PDF Cotizacion
MM-HER-000047,HT90106,MAZO DE HULE 16 OZ MANGO/MADERA HT90106,HER,UND,3.00,3,0.00,61.55,ACTIVE,PDF Cotizacion
MM-HER-000048,HT1540,MAZO DE HULE SILICONADO VERDE 340 GRS HT1540,HER,UND,2.00,3,0.00,87.25,ACTIVE,PDF Cotizacion
MM-HER-000049,HT1541,UDUKE MAZO DE HULE SILICONADO VERDE 425 GRS HT1541,HER,UND,2.00,3,0.00,106.50,ACTIVE,PDF Cotizacion
MM-HER-000050,PROV-0198,UDUKE HSTH820 MAZO MANGO DE FIBRA ERGO 2000G (4.40 LBS),HER,UND,2.00,3,0.00,384.50,ACTIVE,PDF Cotizacion
MM-HER-000051,HT2067,MULTIMETRO ELECTRONICO 600V UDUKE,HER,UND,2.00,3,0.00,350.00,ACTIVE,PDF Cotizacion
MM-HER-000052,NIP012,"NIVEL DE ALUMINIO CON PLASTICO 12"" UYUSTOOLS",HER,UND,2.00,3,0.00,184.00,ACTIVE,PDF Cotizacion
MM-HER-000053,NIP016,"NIVEL DE ALUMINIO CON PLASTICO 16"" UYUSTOOLS",HER,UND,2.00,3,0.00,214.00,ACTIVE,PDF Cotizacion
MM-HER-000054,NIP018,"NIVEL DE ALUMINIO CON PLASTICO 18"" UYUSTOOLS",HER,UND,2.00,3,0.00,227.20,ACTIVE,PDF Cotizacion
MM-HER-000055,NIP024,"NIVEL DE ALUMINIO CON PLASTICO 24"" UYUSTOOLS",HER,UND,2.00,3,0.00,278.36,ACTIVE,PDF Cotizacion
MM-PLO-000038,SS-8050,PANA PANTRY SENCILLA ESCURRIDERO IZQUIERDO,PLO,UND,1.00,3,0.00,755.95,ACTIVE,PDF Cotizacion
MM-FIJ-000024,PID115,"PASADOR DE 1 1/2"" BLISTER UYUSTOOLS",FIJ,UND,6.00,3,0.00,19.90,ACTIVE,PDF Cotizacion
MM-FIJ-000025,PID103,"PASADOR DE 3"" BLISTER UYUSTOOL",FIJ,UND,6.00,3,0.00,32.50,ACTIVE,PDF Cotizacion
MM-FIJ-000026,PID104,"PASADOR DE 4"" BLISTER UYUSTOOL",FIJ,UND,3.00,3,0.00,40.50,ACTIVE,PDF Cotizacion
MM-FIJ-000027,PID102,"PASADOR DORADO 2"" PID102 UYUSTOOLS",FIJ,UND,6.00,3,0.00,20.55,ACTIVE,PDF Cotizacion
MM-FIJ-000028,PID125,"PASADOR DORADO 2.5"" PID125 UYUSTOOLS",FIJ,UND,6.00,3,0.00,26.10,ACTIVE,PDF Cotizacion
MM-GEN-000057,PEGA,INSTANTEANEA SUPER GLUE 3G INGCO,GEN,UND,1.00,3,0.00,72.43,ACTIVE,PDF Cotizacion
